epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,172.396,1.12312,2.56173,1.35753,0.00333,1,0.51674,0.4608,0.60803,3.07629,0.7421,0.0002149,0.0002149,0.0002149
37,177.783,0.55649,1.83262,0.78709,0.00333,1,0.52132,0.46401,0.59859,3.0463,0.73866,0.000206784,0.000206784,0.000206784
38,183.757,1.0169,2.97762,1.21092,0.00333,1,0.52132,0.46401,0.59859,3.0463,0.73866,0.000197876,0.000197876,0.000197876
39,189.196,0.55087,1.93691,0.9771,0.00333,1,0.51628,0.46048,0.58238,3.04285,0.73735,0.000188176,0.000188176,0.000188176
40,194.045,0.65842,2.05277,0.9611,0.00333,1,0.51628,0.46048,0.58238,3.04285,0.73735,0.000177684,0.000177684,0.000177684
41,199.182,0.52432,3.24623,0.95964,0.00333,1,0.51387,0.45879,0.59178,3.02877,0.74164,0.0001664,0.0001664,0.0001664
42,204.674,0.42179,2.66184,0.76676,0.00333,1,0.51387,0.45879,0.59178,3.02877,0.74164,0.000154324,0.000154324,0.000154324
43,209.858,0.58133,2.63872,0.94068,0.00333,1,0.51087,0.45824,0.57664,3.02967,0.7556,0.000141456,0.000141456,0.000141456
44,214.627,0.52489,2.71767,0.80724,0.00333,1,0.51087,0.45824,0.57664,3.02967,0.7556,0.000127796,0.000127796,0.000127796
45,219.862,0.58602,2.28037,0.85742,0.00333,1,0.51038,0.45785,0.58698,3.0249,0.74598,0.000113344,0.000113344,0.000113344
46,224.157,0.53066,2.79253,0.87837,0.00333,1,0.51038,0.45785,0.58698,3.0249,0.74598,9.81e-05,9.81e-05,9.81e-05
47,228.861,0.60095,2.57913,1.03059,0.00333,1,0.50949,0.45714,0.61387,3.00978,0.75789,8.2064e-05,8.2064e-05,8.2064e-05
48,233.371,0.46588,2.45415,0.88022,0.00333,1,0.50949,0.45714,0.61387,3.00978,0.75789,6.5236e-05,6.5236e-05,6.5236e-05
49,237.897,0.68251,2.75358,1.02713,0.00333,1,0.50971,0.45588,0.62015,3.0067,0.76242,4.7616e-05,4.7616e-05,4.7616e-05
50,242.305,0.65934,3.06739,0.83801,0.00333,1,0.50971,0.45588,0.62015,3.0067,0.76242,2.9204e-05,2.9204e-05,2.9204e-05
1,4.57146,1.5315,4.02702,1.63293,0.00222,1,0.49719,0.49681,0.23624,3.63112,0.69843,0,0,0
2,7.73086,0.97859,3.67062,1.26848,0.00222,1,0.49718,0.49705,0.20781,3.62712,0.69689,1.604e-05,1.604e-05,1.604e-05
3,10.8371,1.22946,4.11478,1.29604,0.00222,1,0.4972,0.4972,0.21428,3.62448,0.69609,2.416e-05,2.416e-05,2.416e-05
4,14.4564,1.10319,3.81748,1.25731,0.00222,1,0.49731,0.49731,0.23363,3.62263,0.70262,2.436e-05,2.436e-05,2.436e-05
5,18.2253,0.70239,3.70096,0.98941,0.00222,1,0.49735,0.49735,0.25158,3.60139,0.70681,1.664e-05,1.664e-05,1.664e-05
